year,val
1880,-0.19
1881,-0.100833333333333
1882,-0.110833333333333
1883,-0.194166666666667
1884,-0.296666666666667
1885,-0.3175
1886,-0.321666666666667
1887,-0.3475
1888,-0.179166666666667
1889,-0.109166666666667
1890,-0.370833333333333
1891,-0.24
1892,-0.265
1893,-0.319166666666667
1894,-0.314166666666667
1895,-0.229166666666667
1896,-0.115833333333333
1897,-0.118333333333333
1898,-0.28
1899,-0.184166666666667
1900,-0.0933333333333333
1901,-0.1575
1902,-0.303333333333333
1903,-0.393333333333333
1904,-0.493333333333333
1905,-0.288333333333333
1906,-0.228333333333333
1907,-0.396666666666667
1908,-0.436666666666667
1909,-0.475833333333333
1910,-0.434166666666667
1911,-0.425833333333333
1912,-0.353333333333333
1913,-0.346666666666667
1914,-0.155833333333333
1915,-0.119166666666667
1916,-0.325833333333333
1917,-0.435833333333333
1918,-0.280833333333333
1919,-0.266666666666667
1920,-0.255
1921,-0.174166666666667
1922,-0.268333333333333
1923,-0.241666666666667
1924,-0.250833333333333
1925,-0.205833333333333
1926,-0.0891666666666667
1927,-0.1975
1928,-0.1825
1929,-0.3375
1930,-0.139166666666667
1931,-0.0958333333333333
1932,-0.164166666666667
1933,-0.289166666666667
1934,-0.129166666666667
1935,-0.2
1936,-0.153333333333333
1937,-0.0308333333333333
1938,-0.025
1939,-0.0258333333333333
1940,0.12
1941,0.184166666666667
1942,0.0591666666666667
1943,0.0783333333333333
1944,0.211666666666667
1945,0.0908333333333333
1946,-0.0691666666666667
1947,-0.035
1948,-0.1025
1949,-0.1075
1950,-0.183333333333333
1951,-0.0625
1952,0.0116666666666667
1953,0.0725
1954,-0.141666666666667
1955,-0.141666666666667
1956,-0.204166666666667
1957,0.0441666666666667
1958,0.07
1959,0.0275
1960,-0.0208333333333333
1961,0.0558333333333333
1962,0.0383333333333333
1963,0.0691666666666667
1964,-0.198333333333333
1965,-0.106666666666667
1966,-0.0491666666666667
1967,-0.0225
1968,-0.0758333333333333
1969,0.0683333333333333
1970,0.0316666666666667
1971,-0.0908333333333333
1972,0.0116666666666667
1973,0.158333333333333
1974,-0.085
1975,-0.0158333333333333
1976,-0.108333333333333
1977,0.168333333333333
1978,0.0625
1979,0.1575
1980,0.269166666666667
1981,0.325833333333333
1982,0.131666666666667
1983,0.3125
1984,0.160833333333333
1985,0.119166666666667
1986,0.18
1987,0.330833333333333
1988,0.406666666666667
1989,0.289166666666667
1990,0.4375
1991,0.414166666666667
1992,0.2225
1993,0.239166666666667
1994,0.31
1995,0.445833333333333
1996,0.335
1997,0.469166666666667
1998,0.625833333333333
1999,0.398333333333333
2000,0.403333333333333
2001,0.535833333333333
2002,0.625833333333333
2003,0.611666666666667
2004,0.536666666666667
2005,0.673333333333333
2006,0.62
2007,0.640833333333333
2008,0.518333333333333
2009,0.6375
2010,0.701666666666667
2011,0.584166666666667
2012,0.619166666666667
2013,0.649166666666667
2014,0.735833333333333
2015,0.87
2016,0.9925
2017,0.9025
2018,0.78
